"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2007","1000 Int. $","14508220.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2006","1000 Int. $","14146110.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2005","1000 Int. $","12907720.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2004","1000 Int. $","13398020.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2003","1000 Int. $","13081020.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2002","1000 Int. $","12505450.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2001","1000 Int. $","12922760.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2000","1000 Int. $","11983350.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1999","1000 Int. $","12178660.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1998","1000 Int. $","12117420.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1997","1000 Int. $","11658150.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1996","1000 Int. $","11681790.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1995","1000 Int. $","10846650.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1994","1000 Int. $","10364420.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1993","1000 Int. $","10030810.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1992","1000 Int. $","9896977.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1991","1000 Int. $","10004400.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1990","1000 Int. $","10138170.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1989","1000 Int. $","9324016.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1988","1000 Int. $","9586495.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1987","1000 Int. $","9811674.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1986","1000 Int. $","9467550.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1985","1000 Int. $","9722501.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1984","1000 Int. $","9157551.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1983","1000 Int. $","8833294.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1982","1000 Int. $","8512387.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1981","1000 Int. $","9047936.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1980","1000 Int. $","8478614.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1979","1000 Int. $","7702875.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1978","1000 Int. $","8101450.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1977","1000 Int. $","7399682.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1976","1000 Int. $","6538337.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1975","1000 Int. $","6874326.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1974","1000 Int. $","7096788.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1973","1000 Int. $","6900791.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1972","1000 Int. $","6607013.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1971","1000 Int. $","6551840.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1970","1000 Int. $","6188842.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1969","1000 Int. $","5882768.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1968","1000 Int. $","6226506.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1967","1000 Int. $","5974498.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1966","1000 Int. $","5964644.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1965","1000 Int. $","5736247.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1964","1000 Int. $","5326662.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1963","1000 Int. $","4678528.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1962","1000 Int. $","4367182.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1961","1000 Int. $","4136065.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2007","1000 Int. $","14407890.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2006","1000 Int. $","14046310.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2005","1000 Int. $","12809100.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2004","1000 Int. $","13297900.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2003","1000 Int. $","12978660.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2002","1000 Int. $","12401090.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2001","1000 Int. $","12815550.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2000","1000 Int. $","11875350.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1999","1000 Int. $","12067920.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1998","1000 Int. $","12002680.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1997","1000 Int. $","11543790.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1996","1000 Int. $","11561870.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1995","1000 Int. $","10730730.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1994","1000 Int. $","10244650.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1993","1000 Int. $","9910378.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1992","1000 Int. $","9787428.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1991","1000 Int. $","9895035.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1990","1000 Int. $","10023550.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1989","1000 Int. $","9205806.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1988","1000 Int. $","9472410.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1987","1000 Int. $","9693279.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1986","1000 Int. $","9340946.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1985","1000 Int. $","9595577.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1984","1000 Int. $","9029351.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1983","1000 Int. $","8714403.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1982","1000 Int. $","8388143.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1981","1000 Int. $","8919780.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1980","1000 Int. $","8350536.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1979","1000 Int. $","7590496.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1978","1000 Int. $","7991799.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1977","1000 Int. $","7296480.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1976","1000 Int. $","6433928.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1975","1000 Int. $","6781140.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1974","1000 Int. $","6994270.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1973","1000 Int. $","6802384.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1972","1000 Int. $","6502277.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1971","1000 Int. $","6450489.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1970","1000 Int. $","6084846.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1969","1000 Int. $","5779329.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1968","1000 Int. $","6126962.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1967","1000 Int. $","5870924.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1966","1000 Int. $","5860704.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1965","1000 Int. $","5625238.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1964","1000 Int. $","5219805.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1963","1000 Int. $","4573515.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1962","1000 Int. $","4270208.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1961","1000 Int. $","4044916.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2007","Int. $","117.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2006","Int. $","114.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2005","Int. $","104.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2004","Int. $","108.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2003","Int. $","105.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2002","Int. $","101.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2001","Int. $","104.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2000","Int. $","96.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1999","Int. $","98.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1998","Int. $","98.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1997","Int. $","94.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1996","Int. $","94.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1995","Int. $","87.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1994","Int. $","83.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1993","Int. $","81.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1992","Int. $","80.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1991","Int. $","80.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1990","Int. $","82.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1989","Int. $","75.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1988","Int. $","77.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1987","Int. $","79.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1986","Int. $","76.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1985","Int. $","78.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1984","Int. $","74.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1983","Int. $","71.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1982","Int. $","68.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1981","Int. $","73.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1980","Int. $","68.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1979","Int. $","62.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1978","Int. $","65.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1977","Int. $","59.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1976","Int. $","52.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1975","Int. $","55.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1974","Int. $","57.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1973","Int. $","55.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1972","Int. $","53.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1971","Int. $","53.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1970","Int. $","50.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1969","Int. $","47.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1968","Int. $","50.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1967","Int. $","48.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1966","Int. $","48.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1965","Int. $","46.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1964","Int. $","43.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1963","Int. $","37.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1962","Int. $","35.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1961","Int. $","33.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2007","Int. $","109.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2006","Int. $","108.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2005","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2004","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2003","Int. $","102.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2002","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2001","Int. $","103.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2000","Int. $","96.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1999","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1998","Int. $","100.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1997","Int. $","98.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1996","Int. $","100.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1995","Int. $","95.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1994","Int. $","92.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1993","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1992","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1991","Int. $","94.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1990","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1989","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1988","Int. $","95.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1987","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1986","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1985","Int. $","102.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1984","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1983","Int. $","96.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1982","Int. $","94.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1981","Int. $","102.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1980","Int. $","98.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1979","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1978","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1977","Int. $","92.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1976","Int. $","84.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1975","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1974","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1973","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1972","Int. $","96.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1971","Int. $","98.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1970","Int. $","95.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1969","Int. $","94.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1968","Int. $","102.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1967","Int. $","101.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1966","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1965","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1964","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1963","Int. $","90.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1962","Int. $","87.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1961","Int. $","85.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2007","Int. $","117.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2006","Int. $","114.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2005","Int. $","104.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2004","Int. $","108.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2003","Int. $","105.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2002","Int. $","101.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2001","Int. $","104.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","2000","Int. $","96.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1999","Int. $","98.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1998","Int. $","97.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1997","Int. $","94.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1996","Int. $","94.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1995","Int. $","87.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1994","Int. $","83.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1993","Int. $","80.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1992","Int. $","79.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1991","Int. $","80.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1990","Int. $","81.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1989","Int. $","75.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1988","Int. $","77.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1987","Int. $","79.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1986","Int. $","76.00000","A "
"Mexico","436","Net PIN (base 1999-2001)","1985","Int. $","78.00000","A "
