"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2007","1000 Int. $","483355.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2006","1000 Int. $","494338.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2005","1000 Int. $","496437.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2004","1000 Int. $","523158.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2003","1000 Int. $","415346.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2002","1000 Int. $","382505.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2001","1000 Int. $","487636.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2000","1000 Int. $","496704.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1999","1000 Int. $","583980.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1998","1000 Int. $","702215.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1997","1000 Int. $","691125.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1996","1000 Int. $","800192.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1995","1000 Int. $","658439.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1994","1000 Int. $","575963.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1993","1000 Int. $","455495.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1992","1000 Int. $","401954.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1991","1000 Int. $","647273.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1990","1000 Int. $","740862.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1989","1000 Int. $","634878.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1988","1000 Int. $","945990.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1987","1000 Int. $","779756.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1986","1000 Int. $","654847.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1985","1000 Int. $","643496.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1984","1000 Int. $","718475.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1983","1000 Int. $","706181.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1982","1000 Int. $","599469.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1981","1000 Int. $","815419.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1980","1000 Int. $","921051.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1979","1000 Int. $","843307.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1978","1000 Int. $","884200.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1977","1000 Int. $","886919.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1976","1000 Int. $","643310.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1975","1000 Int. $","634460.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1974","1000 Int. $","1086953.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1973","1000 Int. $","889361.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1972","1000 Int. $","910908.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1971","1000 Int. $","906492.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1970","1000 Int. $","795508.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1969","1000 Int. $","874917.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1968","1000 Int. $","1159208.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1967","1000 Int. $","1020001.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1966","1000 Int. $","1045909.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1965","1000 Int. $","1114878.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1964","1000 Int. $","1110015.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1963","1000 Int. $","1011806.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1962","1000 Int. $","938221.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1961","1000 Int. $","874056.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2007","1000 Int. $","483355.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2006","1000 Int. $","494338.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2005","1000 Int. $","496437.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2004","1000 Int. $","523158.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2003","1000 Int. $","415346.00000","A "
