"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2007","1000 Int. $","27352720.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2006","1000 Int. $","26920430.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2005","1000 Int. $","25389600.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2004","1000 Int. $","25664420.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2003","1000 Int. $","24871430.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2002","1000 Int. $","23971430.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2001","1000 Int. $","24163380.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","2000","1000 Int. $","22894310.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1999","1000 Int. $","22569680.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1998","1000 Int. $","21856590.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1997","1000 Int. $","20832860.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1996","1000 Int. $","20408980.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1995","1000 Int. $","20329250.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1994","1000 Int. $","19180150.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1993","1000 Int. $","18676690.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1992","1000 Int. $","17976760.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1991","1000 Int. $","17825260.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1990","1000 Int. $","17548020.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1989","1000 Int. $","16143390.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1988","1000 Int. $","16898020.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1987","1000 Int. $","17348270.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1986","1000 Int. $","17114680.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1985","1000 Int. $","16687200.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1984","1000 Int. $","15988200.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1983","1000 Int. $","15893430.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1982","1000 Int. $","15203850.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1981","1000 Int. $","15551310.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1980","1000 Int. $","14636060.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1979","1000 Int. $","13496350.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1978","1000 Int. $","13942730.00000","A "
